LotFrontage,LotArea,Street,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,YrSold,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,MSSubClass_SC120,MSSubClass_SC160,MSSubClass_SC180,MSSubClass_SC190,MSSubClass_SC20,MSSubClass_SC30,MSSubClass_SC40,MSSubClass_SC45,MSSubClass_SC50,MSSubClass_SC60,MSSubClass_SC70,MSSubClass_SC75,MSSubClass_SC80,MSSubClass_SC85,MSSubClass_SC90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_1,Alley_2,Alley_None,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,GarageFinish_Fin,GarageFinish_No,GarageFinish_RFn,GarageFinish_Unf,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_No,MiscFeature_Gar2,MiscFeature_No,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MoSold_Apr,MoSold_Aug,MoSold_Dec,MoSold_Feb,MoSold_Jan,MoSold_Jul,MoSold_Jun,MoSold_Mar,MoSold_May,MoSold_Nov,MoSold_Oct,MoSold_Sep,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
65,9.042040057,1.098612289,1.609437912,1.609437912,1.386294361,7,1.791759469,7.602900462,7.602900462,5.283203729,1.609437912,1.386294361,1.609437912,1.386294361,0,6,6.561030666,0.693147181,0,5.017279837,6.753437919,1.791759469,6.753437919,6.751101469,0,7.444833274,0.693147181,0,2,0.693147181,3,0.693147181,4,2.197224577,2.197224577,0,0,7.602900462,2,548,1.386294361,1.386294361,1.098612289,0,4.127134385,0,0,0,0,0,0,2008,3,1.098612289,0,0.693147181,0.693147181,0,1.609437912,2,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,1.098612289,35,2.302585093,2.564949357,1.609437912,0,1644,0,6,1.098612289,0,6.308098442,0,2,3.5,7.850493181,7.444833274,4.127134385,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
80,9.169622539,1.098612289,1.609437912,1.609437912,1.386294361,6,2.197224577,7.589335823,7.589335823,0,1.386294361,1.386294361,1.609437912,1.386294361,1.386294361,5,6.886531643,0.693147181,0,5.65248918,7.141245122,1.791759469,7.141245122,0,0,7.141245122,0,0.693147181,2,0,3,0.693147181,3,1.945910149,2.197224577,0.693147181,3,7.589335823,2,460,1.386294361,1.386294361,1.098612289,5.700443573,0,0,0,0,0,0,0,2007,2,1.386294361,0,0.693147181,0.693147181,1,1.609437912,1,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,0.693147181,48,2.302585093,2.302585093,1.386294361,1.386294361,1380,0,6,0.693147181,0,6.133398043,0.693147181,1,2.5,7.833996342,7.141245122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
68,9.328212293,1.098612289,1.386294361,1.609437912,1.386294361,7,1.791759469,7.60190196,7.602401336,5.093750201,1.609437912,1.386294361,1.609437912,1.386294361,0.693147181,6,6.188264123,0.693147181,0,6.075346031,6.825460036,1.791759469,6.825460036,6.765038977,0,7.488293515,0.693147181,0,2,0.693147181,3,0.693147181,4,1.945910149,2.197224577,0.693147181,3,7.60190196,2,608,1.386294361,1.386294361,1.098612289,0,3.761200116,0,0,0,0,0,0,2008,3,1.098612289,0,0.693147181,0.693147181,1,1.609437912,2,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,1.098612289,35,2.302585093,2.564949357,1.609437912,1.386294361,1824,0,6,1.098612289,0,6.411818268,0.693147181,2,3.5,7.90359629,7.488293515,3.761200116,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,9.16440114,1.098612289,1.386294361,1.609437912,1.386294361,7,1.791759469,7.557994959,7.586296307,0,1.386294361,1.386294361,1.386294361,1.609437912,0,5,5.379897354,0.693147181,0,6.293419279,6.629363253,1.609437912,6.869014451,6.629363253,0,7.448916103,0.693147181,0,1,0,3,0.693147181,4,2.079441542,2.197224577,0.693147181,4,7.600402335,3,642,1.386294361,1.386294361,1.098612289,0,3.583518938,5.609471795,0,0,0,0,0,2006,3,1.098612289,0,0.693147181,0.693147181,2,1.609437912,2,1.098612289,1.098612289,0.693147181,1.098612289,1,0.693147181,0.693147181,35,2.302585093,2.302585093,1.609437912,1.609437912,1926,0,6,0.693147181,0,6.466144724,1.098612289,2,2,7.813591553,7.448916103,5.730099783,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
84,9.565283818,1.098612289,1.386294361,1.609437912,1.386294361,8,1.791759469,7.601402335,7.601402335,5.860786223,1.609437912,1.386294361,1.609437912,1.386294361,1.098612289,6,6.486160789,0.693147181,0,6.196444128,7.044032897,1.791759469,7.044032897,6.960347729,0,7.695757991,0.693147181,0,2,0.693147181,4,0.693147181,4,2.302585093,2.197224577,0.693147181,3,7.601402335,3,836,1.386294361,1.386294361,1.098612289,5.262690189,4.442651256,0,0,0,0,0,0,2008,3,1.098612289,0,0.693147181,0.693147181,1,1.609437912,2,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,1.098612289,40,2.302585093,2.564949357,1.609437912,1.386294361,2508,0,6,1.098612289,0,6.72982407,0.693147181,2,3.5,8.114922974,7.695757991,4.442651256,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
85,9.555064185,1.098612289,1.386294361,1.609437912,1.386294361,5,1.791759469,7.597897951,7.598900457,0,1.386294361,1.386294361,1.609437912,1.386294361,0,6,6.597145702,0.693147181,0,4.17438727,6.680854679,1.791759469,6.680854679,6.340359304,0,7.217443432,0.693147181,0,1,0.693147181,1,0.693147181,3,1.791759469,2.197224577,0,0,7.597897951,2,480,1.386294361,1.386294361,1.098612289,3.713572067,3.433987204,0,5.771441123,0,0,0,6.552507887,2009,2,1.098612289,0,0.693147181,0.693147181,0,1.609437912,1,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,0.693147181,25,2.302585093,2.302585093,1.386294361,0,1440,0,4,0.693147181,0,6.17586727,0,1,2.5,7.677400431,7.217443432,5.860786223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
75,9.21880445,1.098612289,1.609437912,1.609437912,1.386294361,8,1.791759469,7.60339934,7.603897969,5.231108617,1.609437912,1.386294361,1.791759469,1.386294361,1.098612289,6,7.222566019,0.693147181,0,5.762051383,7.430707083,1.791759469,7.43543802,0,0,7.43543802,0.693147181,0,2,0,3,0.693147181,4,2.079441542,2.197224577,0.693147181,4,7.60339934,2,636,1.386294361,1.386294361,1.098612289,5.545177444,4.060443011,0,0,0,0,0,0,2007,3,1.098612289,0,0.693147181,0.693147181,2,1.609437912,2,1.098612289,1.098612289,0.693147181,0.693147181,2,0.693147181,1.098612289,40,2.302585093,2.564949357,1.609437912,1.609437912,1908,0,6,1.098612289,0,6.456769656,1.098612289,2,3,8.125926803,7.43543802,4.060443011,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,9.247925132,1.098612289,1.386294361,1.609437912,1.386294361,7,1.945910149,7.58781722,7.58781722,5.484796933,1.386294361,1.386294361,1.609437912,1.386294361,0.693147181,5,6.756932389,1.609437912,3.496507561,5.379897354,7.010311867,1.791759469,7.010311867,6.891625897,0,7.645397699,0.693147181,0,2,0.693147181,3,0.693147181,3,2.079441542,2.197224577,1.098612289,3,7.58781722,2,484,1.386294361,1.386294361,1.098612289,5.463831805,5.323009979,5.433722004,0,0,0,0,5.860786223,2009,3,1.098612289,0,0.693147181,0.693147181,1,1.609437912,1,1.098612289,1.098612289,1.098612289,0.693147181,2,0.693147181,0.693147181,42,2.302585093,2.302585093,1.386294361,1.945910149,1452,0,6,0.693147181,0,6.184148891,1.098612289,1,3.5,8.070280893,7.645397699,6.070737728,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
51,8.719480761,1.098612289,1.609437912,1.609437912,1.386294361,7,1.791759469,7.566311015,7.576097341,0,1.386294361,1.386294361,1.386294361,1.386294361,0,1,0,0.693147181,0,6.859614904,6.859614904,1.609437912,6.930494766,6.624065228,0,7.481555702,0,0,2,0,2,1.098612289,3,2.197224577,2.079441542,1.098612289,3,7.566311015,2,468,1.098612289,1.386294361,1.098612289,4.510859507,0,5.327876169,0,0,0,0,0,2008,3,1.098612289,0,0.693147181,0.693147181,1,1.386294361,1,1.098612289,0.693147181,0.693147181,0.693147181,1,0.693147181,0.693147181,35,1.945910149,2.302585093,1.945910149,1.945910149,936,0,6,0.693147181,0,6.150602768,1.098612289,2,2,7.910957383,7.481555702,5.327876169,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50,8.912069098,1.098612289,1.609437912,1.609437912,1.386294361,5,1.945910149,7.570443252,7.576097341,0,1.386294361,1.386294361,1.386294361,1.386294361,0,6,6.747586527,0.693147181,0,4.94875989,6.899723107,1.791759469,6.982862751,0,0,6.982862751,0.693147181,0,1,0,2,1.098612289,3,1.791759469,2.197224577,1.098612289,3,7.570443252,1,205,1.609437912,1.386294361,1.098612289,0,1.609437912,0,0,0,0,0,0,2008,2,1.098612289,0,0.693147181,1.098612289,1,1.609437912,1,1.098612289,1.098612289,0.693147181,0.693147181,1,0.693147181,0.693147181,30,2.564949357,2.302585093,1.945910149,1.945910149,820,0,4,0.693147181,0,6.018593214,1.098612289,2,2,7.634820678,6.982862751,1.609437912,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
